food_code,food_name,scientific_name,local_name,food_group,no._of_regions,tags,energy_kcal,moisture,total_fat,dietary_fiber,carbohydrate,protein,essential_amino_acids,saturated_fatty_acids,unsaturated_fatty_acids,essential_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,free_sugars,aluminium_(al),calcium_(ca),chromium_(cr),iron_(fe),magnesium_(mg),phosphorus_(p),potassium_(k),sodium_(na),zinc_(zn)
D030,Brinjal-21,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,2,vegetarian eggetarian fishetarian veg,27.007,89.83,0.35,3.85,3.93,1.36,1.261128,0.08828,0.19584,0.17014,0.02584,0.17,0.93,0.0,0.01527,7e-06,0.00034,0.0173,0.03498,0.252,0.00306,0.0002
D031,Brinjal - all varieties,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,25.334,90.0,0.32,3.98,3.52,1.48,1.346504,0.07115,0.17045,0.14965,0.02145,0.149,0.97,5e-05,0.01659,5e-06,0.00037,0.021,0.03256,0.247,0.00355,0.00021
D032,Broad beans,Vicia faba,"A. Urahi; B. Makhon shim; E. Fava bean, Faba bean, Field bean, Bell bean, Tic bean; G. Fafda papdi; H. Bakla; Kan. Chkaooaradavare; Kash. Thool Haymbe; Kh. Ri majai; Mal. Amarakka; Mar. Ghewda; O. Simba; Tam. Avarai; Tel. Pedda chikkudu.",Other Vegetables,3,vegetarian eggetarian fishetarian veg,29.397,84.2,0.15,8.63,2.11,3.85,3.63594,0.04262,0.07338,0.06485,0.00853,0.06485,1.22,0.0,0.06437,1e-06,0.00094,0.04018,0.06797,0.362,0.02074,0.00061
D033,"Capsicum, green",Capsicum annuum,A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan. Donnmena-sinakayi; Kash. Shimla marchwangan; Kh. Sohmynken jhur jyrngam; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,16.252,93.89,0.34,2.06,1.84,1.11,1.061826,0.07703,0.18471,0.17208,0.01271,0.172,0.86,0.0,0.01475,1.7e-05,0.00048,0.01184,0.023,0.154,0.00184,0.00015
D034,"Capsicum, red",Capsicum annuum,A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan.  Donnmena- sinakayi; Kash.  Shimla marchwangan; Kh. Sohmynken jhur jyrngam; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi.,Other Vegetables,4,vegetarian eggetarian fishetarian veg,19.837,92.99,0.47,2.19,2.14,1.47,1.399293,0.08639,0.26465,0.21777,0.04765,0.217,0.93,6e-05,0.01576,8e-06,0.00038,0.01957,0.03081,0.224,0.0017,0.00034
D035,"Capsicum, yellow",Capsicum annuum,A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan.  Donnmena-sinakayi; Kash. Shimla marchwangan; Kh. Sohmynken jhur stem; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi.,Other Vegetables,4,vegetarian eggetarian fishetarian veg,18.642,93.38,0.41,2.19,1.95,1.35,1.272105,0.102,0.25655,0.20049,0.05555,0.201,0.97,7e-05,0.01913,3.6e-05,0.00069,0.01723,0.04333,0.242,0.00156,0.00026
D036,Cauliflower,Brassica oleracea,A. Phul kobi; B. Phul kopi; G. Fulawar; H. Phul gobi; Kan. Hukosu; Kash. Phoolgobi; Kh. Phul kubi; Mal. Cauliflower; M. Kobithamchetmai; Mar. Phul gobi; N. Kauli; O. Phul Kobi; P. Phul gobi; S. Gojihvaa; Tam. Pookosu; Tel. Go puvvu; U. Phul gobi.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,22.944,90.76,0.44,3.71,2.03,2.15,1.96037,0.117,0.24083,0.216,0.02483,0.216,0.47,0.00013,0.02516,7e-06,0.00096,0.02308,0.04733,0.329,0.03072,0.00031
D037,Celery stalk,Apium graveolens,B. Randhuni; H. Ajmud; Kh. Dieng seleri; G. Celery daandi; Tam. Sivarikkeerai.,Other Vegetables,3,vegetarian eggetarian fishetarian veg,16.491,92.87,0.24,2.09,2.33,0.98,0.899052,0.06276,0.13694,0.13133,0.00594,0.131,0.75,0.00034,0.03873,1.6e-05,0.00136,0.01712,0.04484,0.298,0.01068,0.00018
D038,Cho-cho-marrow,Sechium edule,"A. Squash; E. Cho cho marrow, Chayote; H. Cho-cho-marrow; Kan. Cho-cho-marrow; M. Dasakusa; Mal. Cho-cho-marrow; Mar. Cho cho sara; O. Phuti kakudi; Kh. Biskot; Tam. Chow-chow.",Other Vegetables,4,vegetarian eggetarian fishetarian veg,18.881,93.78,0.15,1.55,3.47,0.66,0.64086,0.07612,0.03588,0.02258,0.0133,0.02258,0.76,0.0,0.01864,6e-06,0.00048,0.01305,0.02161,0.12,0.00128,0.0001
D039,Cluster beans,Cyamopsis tetragonobola,A. Mah; B. Jhar sim; E. Guar; G. Govar; H. Gaur-ki-phalli; Kan. Gori koyi; Kash. Hyambi; Mal. Kothavara; Mar. Govari; O. Guanra chhuin; P. Guarae-di-faliya; Tam. Kothavaranga; Tel. Goruchikkudu; U. Gavar ki palli.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,40.152,84.65,0.37,4.83,4.91,3.55,3.02176,0.107,0.17824,0.14814,0.03024,0.148,0.12,8e-05,0.121,1.3e-05,0.0039,0.08174,0.04528,0.301,0.00405,0.00061
