food_code,food_name,scientific_name,local_name,food_group,no._of_regions,tags,energy_kcal,moisture,total_fat,dietary_fiber,carbohydrate,protein,essential_amino_acids,saturated_fatty_acids,unsaturated_fatty_acids,essential_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,free_sugars,aluminium_(al),calcium_(ca),chromium_(cr),iron_(fe),magnesium_(mg),phosphorus_(p),potassium_(k),sodium_(na),zinc_(zn)
E059,Rambutan,Nephelium lappaceum,H. Rambutan.,Fruits,1,vegetarian eggetarian fishetarian veg,73.134,80.87,0.16,1.02,16.84,0.68,0.66572,0.144,0.522,0.362,0.16,0.362,15.8,0.0,0.00867,3e-06,0.00037,0.02138,0.00698,0.131,0.00175,0.00053
E060,Sapota,Achras sapota,A. Chiku; E. Sapodilla; H. Chiku; Kan. Sapota; Mal. Sapota; Mar. Chiku; O. Sapota; P. Chiku; Tel. Sapota; U. Sapota.,Fruits,6,vegetarian eggetarian fishetarian veg,73.37299999999999,73.64,1.26,9.6,13.9,0.92,0.7912,0.389,0.613,0.358,0.255,0.358,12.3,0.0,0.01787,1e-05,0.00049,0.01619,0.02226,0.28,0.00461,0.00018
E061,Soursop,Annona muricata,H. Shul-ram fal; Kan. Lakshmanaphala/Mulluramphala; Mal. Mullatha; Tam. Malai seethapalam/ Paanghi pazham; Tel. Lakshamana phalamu.,Fruits,1,vegetarian eggetarian fishetarian veg,62.14,80.85,0.94,4.95,11.94,0.74,0.736744,0.135,0.17054,0.132,0.03854,0.132,9.83,0.0,0.01005,1e-06,0.00029,0.0177,0.02583,0.264,0.00678,0.00012
E062,Star fruit,Averrhoa carambola,"A. Kordoi; E. Carambola, Starfruit; G. Amrakh; H. Kazmal/Kamrakh; Kan. Kamaraka/ Kapazakshi hannu; Kh. Soh pyrshong; Mal. Caturappuli; M. Heinoujom; Mar. Karambal; O. Karamanga; Tam. Tamarattai; U. Kamrakh.",Fruits,1,vegetarian eggetarian fishetarian veg,26.29,91.18,0.39,2.81,4.51,0.79,0.749236,0.02077,0.22462,0.1909,0.03362,0.191,3.95,0.0,0.00497,2.3e-05,0.00045,0.01153,0.01167,0.159,0.00156,0.00024
E063,Strawberry,Fragaria ananassa,G. strawberry; Kan. Nela milli hannu; Kh. Strawberry/ soh stap; Mal. Stroberry; P. Lachi; Kash. Istaber; Tam. Strawberry.,Fruits,6,vegetarian eggetarian fishetarian veg,24.617,92.03,0.56,2.5,3.4,0.97,0.87106,0.06621,0.36887,0.291,0.07787,0.291,3.56,0.0,0.01528,1e-06,0.00036,0.01553,0.02631,0.14,0.00119,0.00014
E064,"Tamarind, pulp",Tamarindus indicus,A. Teteli; B. Tetul; G. Amli; H. Imli; Kan. Hunise hannu; Kash. Tambari; Kh. Soh kyntoi; Mal. Puli; M. Mange; Mar. Chinch; N. Imali; O. Tentuli; P. Imli; S. Sucukrika; Tam. Puli; Tel. Chintha pandu; U. Imli.,Fruits,6,vegetarian eggetarian fishetarian veg,288.473,20.83,0.15,5.31,67.35,2.92,2.415132,0.02726,0.05274,0.01785,0.03489,0.01785,52.88,0.00081,0.149,6.6e-05,0.00916,0.08273,0.113,0.836,0.02492,0.00058
E065,"Water melon, dark green (sugar baby)",Citrullus vulgaris,A. Tormuj; B. Tarmuj; E. Watermelon; G. Tadbuj; H. Tarbuj; Kan. Kallangadi; Kash. Hend wend; Kh. Soh watermelon; Kon. Bacchanga; Mal. Thannir mathan; M. Tarbuj; Mar. Kalingad; N. Kharbuja; O. Tarvuja; P. Dawana; Tam. Darbusani; Tel. Puchakaya; U. Tarbuja.,Fruits,6,vegetarian eggetarian fishetarian veg,20.315,94.54,0.16,0.7,3.86,0.6,0.46206,0.0397,0.0923,0.06745,0.02484,0.06746,3.66,0.0,0.00529,2e-06,0.00022,0.00991,0.01133,0.124,0.00189,0.0001
E066,"Water melon, pale green",Citrullus vulgaris,A. Tormuj; B. Tarmuj; E. Watermelon; G. Tadbuj; H. Tarbuj; Kan. Kallangadi; Kash. Hend wend; Kh. Soh watermelon; Kon. Bacchanga; Mal. Thannir mathan; M. Tarbuj; Mar. Kalingad; N. Kharbuja; O. Tarvuja; P. Dawana; Tam. Darbusani; Tel. Puchakaya; U. Tarbuja.,Fruits,6,vegetarian eggetarian fishetarian veg,16.73,95.33,0.16,0.78,3.02,0.59,0.479257,0.05033,0.07634,0.06538,0.01096,0.06538,3.0,0.0,0.00435,3e-06,0.00016,0.00742,0.00809,0.126,0.00162,7e-05
E067,Wood Apple,Limonia acidissima,A. Bel; B. Koyeth Bael; E. Elephant apple; G. Kothu; H. Kaith; Kan. Bele; Kash. Bum choont; Mal. Vilam pazham; Mar. Kavath; O. Kaitha; P. Chaktora; S. Bilvaon (Gorakamli); Tam. Vilam pazham; Tel. Velega pandu; U. Beal.,Fruits,3,vegetarian eggetarian fishetarian veg,78.15299999999999,79.36,3.62,5.21,7.52,3.14,3.005294,0.877,2.03,1.435,0.595,1.435,3.81,3e-05,0.05571,4e-06,0.00045,0.0237,0.08432,0.347,0.00148,0.00031
E068,Zizyphus,Zizyphus jujube,"A. Bogori; B. Kula; E. Jujube, Ziziphus; G. Ber; H. Ber; Kan. Yelachi; Kash. Brey; Kh. Soh broi heh; Kon. Bor; Mal. Elanth pazham; M. Boroi; Mar. Bor; O. Barakoli; P. Beri; S. Badarii; Tam. Elanthai pazham; Tel. Regu pandu; U. Ber.",Fruits,1,vegetarian eggetarian fishetarian veg,48.756,84.39,0.35,3.73,9.4,1.34,1.303418,0.119,0.16125,0.03525,0.126,0.03525,8.29,0.0,0.04655,6e-06,0.0004,0.01672,0.03238,0.237,0.00152,0.0001
F001,Beet root,Beta vulgaris,"A. Beet; B. Beet; E. Beetroot, Beet, Table beet, Garden beet, Red beet, Golden beet; G. Beet; H. Chukandar; Kan. Beet; Kh. U bit; Kash. Chogander munji; Mal. Beet root; Mar. Beet root; O. Bita; P. Chukandar; S. Paalangashaakah; Tam. Beet root; Tel. Beet root; U. Chokhandar.",Roots and Tubers,6,vegetarian eggetarian fishetarian veg,35.611,86.95,0.14,3.31,6.18,1.95,1.792245,0.03117,0.08617,0.06421,0.02196,0.06421,4.35,8e-05,0.01728,8e-06,0.00076,0.03321,0.03633,0.306,0.06944,0.0003
F002,"Carrot, orange",Dacus carota,A. Gajor; B. Gajar; G. Gajar; H. Gajar; Kan. Gajjare; Kash. Ghahzir; Kh. U kajor; Mal. Carrot; M. Gajar; Mar. Gajar; N. Gajar; O. Gajara; P. Gajar; S. Grunjanam; Tam. Carrot; Tel. Gajjara gadda; U. Gajar.,Roots and Tubers,6,vegetarian eggetarian fishetarian veg,33.221,87.69,0.47,4.18,5.55,0.95,0.899555,0.08771,0.28701,0.26538,0.02101,0.266,3.23,0.00014,0.03509,4e-06,0.0006,0.01673,0.04306,0.273,0.05233,0.00025
F003,"Carrot, red",Dacus carota,A. Gajor; B. Gajar; G. Gajar; H. Gajar; Kan. Gajjare; Kash. Ghahzir; Kh. Kajor; Mal. Carrot; M. Gajar; Mar. Gajar; N. Gajar; O. Gajara; P. Gajar; S. Grunjanam; Tam. Carrot; Tel. Gajjara gadda; U. Gajar.,Roots and Tubers,4,vegetarian eggetarian fishetarian veg,38.24,86.07,0.47,4.49,6.71,1.04,0.97968,0.08891,0.28827,0.2701,0.01827,0.27,3.96,0.00013,0.04106,4e-06,0.00071,0.01883,0.02581,0.267,0.06069,0.00034
F004,Colocasia,Colocasia antiquorum,A. Kosu; B. Kochu; E. Taro; G. Advi; H. Arwi; Kan. Samagadde; Kash. faram; Kh. Ka shriew; Mal. Chembu; M. Paan; Mar. Alu kanda; O. Saru; P. Arwi; Tam. Seppankizhangu; Tel. Chama dumpa; U. Arwi.,Roots and Tubers,6,vegetarian eggetarian fishetarian veg,88.908,73.49,0.17,3.22,17.85,3.31,2.935308,0.04184,0.10033,0.07741,0.02292,0.07741,0.9,0.00022,0.03018,9e-06,0.00066,0.03693,0.08116,0.514,0.00454,0.00041
F005,Lotus root,Nelumbium nelumbo,"A. podum thari; G. Kamad kakdi; H. Kamal gatta, Kamal kakdi; Kan. Tavare dantu; Kash. Nader; Kh. Thied lotus; Mal. Thamara thandu; M. Thambou; Mar. Kamalkaakdi; O. Padma nad; P. Kamal zahr; Tam. Thamaraithandu; Tel. Thamara kada; U. Kanwal kakri.",Roots and Tubers,3,vegetarian eggetarian fishetarian veg,79.348,76.26,0.93,4.7,14.67,1.94,1.848626,0.249,0.49812,0.414,0.08412,0.414,0.24,0.00159,0.03771,2.8e-05,0.00334,0.02658,0.0743,0.611,0.02063,0.00035
F006,"Potato, brown skin, big",Solanum tuberosum,A. Simolu aloo; B. Gal alu; G. Bateka; H. Alu; Kan. Alugadda; Kash. Oalu; Kh. U phan; Kon. Alu; N. Alu; Mal. Urula kizhangu; M. Aloo; Mar. Batata; O. Alu; P. Alu; S. Aalukah; Tam. Urulai kizhangu; Tel. Bangala dumpa; U. Alu.,Roots and Tubers,6,vegetarian eggetarian fishetarian veg,69.788,80.72,0.23,1.71,14.89,1.54,1.488256,0.04356,0.14282,0.12929,0.01382,0.129,0.32,5e-05,0.00952,2e-06,0.00057,0.02407,0.04342,0.541,0.00411,0.00028
F007,"Potato, brown skin, small",Solanum tuberosum,"A. Simolu aloo; B. Gal alu; G. Bateka; H. Alu; Kan. Alugadda; Kash. Oalu; Kh. Phan rit; Kon. Alu; M. Aloo; Mar. Batata; N., O., P., U. Alu; S. Aalukah; Tam. Urulaikizhangu; Tel. Bangala dumpa.",Roots and Tubers,1,vegetarian eggetarian fishetarian veg,60.945,82.97,0.22,1.69,12.9,1.35,1.14858,0.04403,0.13994,0.12802,0.01194,0.128,0.44,0.0,0.00853,7e-06,0.00053,0.02234,0.0379,0.474,0.00397,0.00038
F008,"Potato, red skin",Solanum tuberosum,A. Aloo; B. Gal alu; G. Bateka; H. Alu; Kan. Alugadda; Kash. Oalu; Kh. Phan saw; Kon. Alu; Mal. Urula kizhangu; Mar. Batata; N. Alu; O. Alu; P. Alu; S. Aalukah; M. Aloo; Tam. Urulaikizhangu; Tel. Bangala dumpa; U. Alu.,Roots and Tubers,1,vegetarian eggetarian fishetarian veg,73.134,79.72,0.22,1.68,15.43,1.83,1.526037,0.03987,0.13591,0.12122,0.01491,0.121,0.38,0.0,0.00862,6e-06,0.00066,0.02554,0.03039,0.501,0.00436,0.00034
F009,"Radish, elongate, red skin",Raphanus sativus,A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli saw; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.,Roots and Tubers,3,vegetarian eggetarian fishetarian veg,32.026,89.32,0.13,2.46,6.71,0.67,0.623167,0.04265,0.06402,0.05673,0.00729,0.05673,1.15,0.00023,0.02844,4e-06,0.00037,0.01334,0.02751,0.255,0.02473,0.00016
F010,"Radish, elongate, white skin",Raphanus sativus,A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli lieh; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.,Roots and Tubers,6,vegetarian eggetarian fishetarian veg,32.265,89.05,0.15,2.65,6.56,0.77,0.708554,0.04388,0.06278,0.05364,0.00914,0.05364,0.95,0.00013,0.0302,3e-06,0.00036,0.01607,0.0301,0.288,0.0282,0.00022
F011,"Radish, round, red skin",Raphanus sativus,A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli pyllon; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.,Roots and Tubers,1,vegetarian eggetarian fishetarian veg,31.07,89.68,0.16,2.29,6.07,0.89,0.810256,0.04608,0.08193,0.07585,0.00608,0.07585,0.86,0.0,0.03576,3e-06,0.00042,0.02225,0.02827,0.308,0.03227,0.00018
F012,"Radish, round, white skin",Raphanus sativus,A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli pyllon; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.,Roots and Tubers,2,vegetarian eggetarian fishetarian veg,30.831,89.76,0.14,2.37,6.13,0.8,0.728,0.04115,0.07484,0.0622,0.01264,0.0622,1.16,0.0,0.03423,2e-06,0.00041,0.01546,0.02947,0.287,0.02414,0.00017
F013,"Sweet potato, brown skin",Ipomoes batatas,A. Meetha aloo; B. Ranga alu; G. Sakkaria; H. Shakarkand; Kan. Genasu; Kh. Phankaro iong; Mal. Sakkarvalli kazhangu; M. Manghra; Mar. Ratalu; N. Sakhar Khand; O. Kandamula; P. Sakkargandi; Tam. Sakkarvalli kizhangu; Tel. Chilagada dumpa; U. Ratalu.,Roots and Tubers,4,vegetarian eggetarian fishetarian veg,108.984,69.21,0.26,3.99,24.25,1.33,1.35394,0.0661,0.1201,0.11581,0.0041,0.116,3.63,0.0,0.0275,2e-06,0.00035,0.01737,0.04296,0.345,0.0296,0.00016
F014,"Sweet potato, pink skin",Ipomoes batatas,A. Meetha aloo; B. Ranga alu; G. Sakkaria; H. Shakarkand; Kan. Genasu; Kh. Phankaro saw; Mal. Sakkarvalli kazhangu; M. Manghra; Mar. Ratalu; N. Sakhar Khand; O. Kandamula; P. Sakkargandi; Tam. Sakkarvalli kizhangu; Tel. Chilagada dumpa; U. Ratalu.,Roots and Tubers,3,vegetarian eggetarian fishetarian veg,108.028,69.58,0.33,3.94,23.93,1.27,1.163447,0.101,0.18935,0.17992,0.00935,0.18,4.03,0.0,0.02893,2e-06,0.00051,0.02105,0.0376,0.329,0.02904,0.00014
F015,Tapioca,Manihot esculenta,A. Sagi; B. Simla alu; G. Aararoot; H. Simla alu; Kan. Mra genasu; Kh. Phan dieng; Mal. Mrachini; M. U Manghra; Mar. Simla  Batata; N. Tarul; O. Kathakonda; P. Simla alu; Tam. Maravalli kizhangu; Tel. Krrapendalamu; U. Kasawa soji.,Roots and Tubers,3,vegetarian eggetarian fishetarian veg,79.826,75.23,0.2,4.61,17.81,1.03,0.935549,0.0595,0.10049,0.0913,0.0092,0.09129,2.14,0.00018,0.02589,5e-06,0.00081,0.02308,0.04255,0.255,0.01086,0.00017
F016,Water Chestnut,Eleocharis dulcis,"A.Pani singora; B. Pani phal; G. Shingoda; H., Mar. Shingara; Kash. Goer; Mal. Karimpolam; M. Kaothum; O. Pani singhara; P. Shingada; Tam. Singhara; Tel. Kubyakam.",Roots and Tubers,1,vegetarian eggetarian fishetarian veg,95.6,73.34,0.37,3.02,21.46,0.86,0.778902,0.08742,0.209,0.10397,0.105,0.104,1.95,0.0,0.03715,1.4e-05,0.00077,0.05743,0.06283,0.382,0.01308,0.00067
F017,"Yam, elephant",Amorphophallus campanulatus,"A. Ol kachu; B. Ol; E. Elephant foot yam, Whitespot giant arum; G. Suran; H. Zimikandha; Kan. Suvarna gadda; Kh. Shriew hati; Mal. Chena; M. Haa; Mar. Suran; O. Suran; P. Zimikand; Tam. Karunai kizhangu; Tel. Kandha dumpa.",Roots and Tubers,6,vegetarian eggetarian fishetarian veg,84.36699999999999,74.39,0.14,4.17,17.46,2.56,2.501376,0.03572,0.08027,0.07352,0.00675,0.07352,1.58,0.00019,0.04691,9e-06,0.00122,0.03351,0.04306,0.501,0.01433,0.00026
F018,"Yam, ordinary",Amorphophallus campanulatus,"A. Kath aloo; B. Gherkochoo; E. White yam, Winged yam, Water yam, Purple yam; G. Ratadu; H. Sooran; Kan. Suvarna gadda; Kh. Shriew jrong; Mal. Chena; M. Haa; Mar. Goradu; N. Pidaloo; O. Khamba alu; S. Aalu; Tam. Karunai kizhangu; Tel. Durdakandagadda.",Roots and Tubers,4,vegetarian eggetarian fishetarian veg,83.411,74.28,0.17,4.08,17.65,2.18,2.003856,0.04263,0.08538,0.07234,0.01304,0.07234,1.15,0.00014,0.01619,6e-06,0.00077,0.0304,0.04946,0.463,0.01528,0.00033
F019,"Yam, wild",Dioscorea versicolor,A. Jongoli kosu; B. Ranga alu; G. Ratadu; H. Suaralu; Kan. Hegganasu; Kh. Shriew lieh; Mal. Kattuchena; M. Haa; Mar. Suran; Tam. Kodi kizhangu; Tel. Chedu paddu dumpa.,Roots and Tubers,2,vegetarian eggetarian fishetarian veg,102.77,69.35,0.3,4.57,20.95,3.07,3.021801,0.07951,0.16466,0.14193,0.02266,0.142,1.54,0.0,0.04413,0.0,0.00104,0.03175,0.05594,0.654,0.0128,0.00031
G001,"Chillies, green-1",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Sohmynken heh; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,5,vegetarian eggetarian fishetarian veg,45.649,84.47,0.73,4.86,6.32,2.62,2.318176,0.126,0.46619,0.42799,0.03819,0.428,0.71,0.00024,0.0241,6e-06,0.00146,0.03472,0.06216,0.431,0.00332,0.00031
G002,"Chillies, green-2",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,3,vegetarian eggetarian fishetarian veg,39.913,85.72,0.75,5.13,5.27,2.28,1.994088,0.131,0.46639,0.43273,0.03339,0.433,1.05,6e-05,0.01686,4e-06,0.00124,0.02754,0.05172,0.321,0.00247,0.00026
G003,"Chillies, green-3",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,5,vegetarian eggetarian fishetarian veg,40.391,85.59,0.75,5.1,5.23,2.38,2.167228,0.133,0.44974,0.41749,0.03174,0.418,0.54,0.00016,0.01804,4e-06,0.00125,0.0299,0.05024,0.317,0.00256,0.00027
G004,"Chillies, green-4",Capsicum annum,A. Kesa jalakia; E. Chili pepper; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,3,vegetarian eggetarian fishetarian veg,45.41,85.29,0.74,4.15,6.63,2.33,2.043876,0.148,0.44125,0.41137,0.02925,0.412,0.62,0.00016,0.01587,4e-06,0.00108,0.02974,0.04279,0.318,0.00194,0.00028
G005,"Chillies, green-5",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Vadhvani marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,2,vegetarian eggetarian fishetarian veg,43.02,85.93,0.65,3.95,6.64,2.01,1.752519,0.109,0.41097,0.3846,0.02697,0.384,0.46,0.0002,0.01531,5e-06,0.00093,0.02396,0.04435,0.317,0.00219,0.00031
G006,"Chillies, green-6",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,1,vegetarian eggetarian fishetarian veg,41.825,84.93,0.64,5.15,5.31,3.01,2.54345,0.121,0.39057,0.36357,0.02757,0.363,0.59,0.0,0.02482,3e-06,0.00075,0.0348,0.05605,0.34,0.00243,0.00029
G007,"Chillies, green-7",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Gola marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken beb; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,1,vegetarian eggetarian fishetarian veg,38.957,85.83,0.6,4.95,5.61,2.12,1.899308,0.102,0.36166,0.33191,0.02966,0.332,0.73,0.0,0.01685,2e-06,0.00123,0.02671,0.04558,0.319,0.002,0.00017
G008,"Chillies, green - all varieties",Capsicum annum,A. Kesa jalakia; E. Chili pepper; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,6,vegetarian eggetarian fishetarian veg,42.303,85.39,0.72,4.77,5.86,2.36,2.08624,0.129,0.4452,0.41314,0.0322,0.413,0.67,0.00057,0.01845,5e-06,0.0012,0.02951,0.05091,0.341,0.0025,0.00027
G009,Coriander leaves,Coriandrum sativum,"A. Dhania paat; B. Dhone pata; E. Cilantro, Chinese parsley; G. Dhana pandada; H. Hara dhania; Kan. Kothambari; Kash. Daaniwal; Kh. Dhonia dkhar; Mal. Kothamalli; M. Fadhighom Mana; Mar. Kothimbir; N. Hario Dhaniya; O. Dhania Patra; P. Hara dhaniya patta; Tam. Kothamalli; Tel. Kothimiri; U. Hara dhaniya.",Condiments and Spices,6,vegetarian eggetarian fishetarian veg,31.07,86.99,0.7,4.66,1.93,3.52,3.20672,0.228,0.32906,0.32,0.00906,0.32,0.17,0.00049,0.146,3.3e-05,0.0053,0.07268,0.06469,0.546,0.037,0.00068
G010,Curry leaves,Murraya koenigii,A. Narasingha paat; B. Karhi-pat; E. Sweet Neem leaves; G. Kadi umdo; H. Gandhela ; Kan. Karibevu; Kash. Curry patta; Kh. Sla Kori; Mal. Kariveppilai; M. Curry Pata; Mar. Gandhela; N. Kary patta; O. Bhursanga Patra; P. Kadhi patta; S. Girinimba; Tam. Kariveppilai; Tel. Karivepaku; U. Kadi ka patta.,Condiments and Spices,6,vegetarian eggetarian fishetarian veg,63.574,65.33,1.06,16.83,4.51,7.41,6.653439,0.267,0.61357,0.569,0.04457,0.569,0.6,0.00044,0.659,6e-05,0.00867,0.182,0.08329,0.584,0.01866,0.00118
G011,"Garlic, big clove",Allium sativum,A. Nohoru; B. Rashun; G. Lasan; H. Lehsan; Kan. Bellulli; Kash. Ruhan; Kh. Rynsun heh/ Rynsun dkhar; Mal. Vellulli; M. Chanam; Mar. Lasoon; N. Lasun; O. Rasuna; P. Lasan; S. Lashoonam; Tam. Poondu; Tel. Vellulli; U. Laisan.,Condiments and Spices,6,vegetarian eggetarian fishetarian veg,123.802,64.38,0.16,5.22,21.93,6.92,6.026628,0.03352,0.08114,0.0669,0.01424,0.0669,5.97,2e-05,0.02008,4e-06,0.00105,0.02708,0.119,0.43,0.00942,0.00089
G012,"Garlic, small clove",Allium sativum,A. Nohoru; B. Rashun; G. Lasan; H. Lehsan; Kan. Bellulli; Kash. Ruhan; Kh. Rynsun rit; Mal. Vellulli; M. Chanam; Mar. Lasoon; N. Lasun; O. Rasuna; P. Lasan; S. Lashoonam; Tam. Poondu; Tel. Vellulli; U. Laisan.,Condiments and Spices,3,vegetarian eggetarian fishetarian veg,122.846,64.42,0.14,5.47,21.84,6.75,5.7267,0.03263,0.07537,0.06181,0.01355,0.06182,4.84,2e-05,0.01763,3e-06,0.00088,0.02578,0.116,0.453,0.01056,0.00081
G013,"Garlic, single clove, Kashmir",Allium sativum,A. Nohoru; B. Ek koya Rashun; G. Lasan; H. Lehsan; Kan. Bellulli; Kash. Ruhan; Kh. Rynsun; Mal. Vellulli; M. Chanam; Mar. Lasoon; N. Lasun; O. Rasuna; P. Lasan; S. Lashoonam; Tam. Ottrai poondu; Tel. Vellulli; U. Laisan.,Condiments and Spices,1,vegetarian eggetarian fishetarian veg,124.997,64.49,0.16,4.01,23.46,6.12,5.733828,0.03476,0.09323,0.08241,0.01083,0.0824,3.73,0.0,0.019,8e-06,0.00101,0.04113,0.128,0.584,0.00887,0.00066
G014,"Ginger, fresh",Zinziber officinale,A. Ada kesa; B. Ada; G. Adu; H. Adrak ; Kan. Shunti; Kash. Adrak; Kh. Sying bah; Mal. Inji; M. Sing; Mar. Ale; N. Aduwa; O. Ada; P. Adrak; S. Aadrak; Tam. Inji; Tel. Allam; U. Adrak.,Condiments and Spices,6,vegetarian eggetarian fishetarian veg,54.97,81.27,0.85,5.36,8.97,2.22,1.924962,0.231,0.44897,0.38099,0.06797,0.381,1.31,0.00047,0.01888,1.3e-05,0.0019,0.05466,0.04436,0.407,0.01003,0.00039
G015,Mango ginger,Curcuma amada,A. Aam ada; B. Amada; G. Amba Hardar; H. Aam adhrak; Kan. Mavina hasi sunthi; Kash. Adrak; Kh. Sying makhir; Mal. Mangainji; Mar. Amba haldi; P. Aam adrak; Tam. Mainji; Tel. Mamidiallam; U. Aam adrak.,Condiments and Spices,3,vegetarian eggetarian fishetarian veg,42.303,84.55,0.7,4.74,6.98,1.45,1.378225,0.177,0.38626,0.33426,0.05226,0.334,2.42,0.0,0.01374,2e-06,0.00231,0.03686,0.06833,0.384,0.00551,0.00047
G016,Mint leaves,Mentha spicata,A. Podina; B. Pudina; E. Mentha; G. Phudino; H. Pudina; Kan. Pudina; Kash. Pudinth; Kh. Pudina; Mal. Pudina; M. Nungsihidak; Mar. Pudina; N. Baabari; O. Pudina Patra; P. Pudina; Tam. Pudina; Tel. Pudina; U. Pudina.,Condiments and Spices,4,vegetarian eggetarian fishetarian veg,37.045,84.24,0.65,5.89,2.39,4.66,4.339858,0.125,0.36523,0.35109,0.01323,0.352,0.08,0.00016,0.205,6.3e-05,0.00856,0.11,0.06525,0.539,0.01687,0.00075
G017,"Onion, big",Allium cepa,"A. Piyanj; B. Peyaj; E. Bulb onion, Common onion; G. Kando; H. Pyaz; Kan. Eerulli; Kash. Gandha; Kh. Piat; Mal. Ulli; M. Tilhou; Mar. Kanda; N. Pyaj; O. Piaja; P. Gandhe; S. Palaanduh; Tam. Vengayam; Tel. Neerulli/Ullipaya; U. Pyaaz.",Condiments and Spices,6,vegetarian eggetarian fishetarian veg,48.039,85.76,0.24,2.45,9.56,1.5,1.23915,0.06081,0.14636,0.10663,0.03936,0.107,5.88,3e-05,0.02103,3e-06,0.00043,0.01796,0.03234,0.171,0.0055,0.00035
